SR_Report_As_of_Date,ID,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Reason,Restriction_Speed_MPH,Restriction_Distance_Miles,Restriction_Distance_Feet,Restricted_Track_Pct,Total_Track_Miles,Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Restriction_Count_End,Restriction_Days_to_Clear,Restriction_Days_Active,ObjectId
2023/02/28 05:00:00+00,518159,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Kenmore to Hynes,place-kencl | place-hymnl,Restriction Opened,2023/02/17 05:00:00+00,,Track,5 mph,0.038,200,0.003,14,0,1,0,0,,11,129
2023/02/28 05:00:00+00,518159,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Kenmore to Hynes,place-kencl | place-hymnl,Active Restriction,2023/02/17 05:00:00+00,,Track,5 mph,0.038,200,0.003,14,0,0,0,1,,11,130
2023/02/28 05:00:00+00,518179,Red Line,Red Line,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Restriction Opened,2023/02/17 05:00:00+00,2023/03/01 05:00:00+00,Track,10 mph,0.133,700,0.003,41.9,0,1,0,0,12,,131
2023/02/28 05:00:00+00,518179,Red Line,Red Line,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Active Restriction,2023/02/17 05:00:00+00,2023/03/01 05:00:00+00,Track,10 mph,0.133,700,0.003,41.9,0,0,0,1,12,,132
2023/02/28 05:00:00+00,518180,Red Line,Red Line,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Restriction Opened,2023/02/17 05:00:00+00,,Track,10 mph,0.303,1600,0.007,41.9,0,1,0,0,,11,133
2023/02/28 05:00:00+00,518180,Red Line,Red Line,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Active Restriction,2023/02/17 05:00:00+00,,Track,10 mph,0.303,1600,0.007,41.9,0,0,0,1,,11,134
2023/02/28 05:00:00+00,518182,Red Line,Red Line,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Restriction Opened,2023/02/17 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,0,1,0,0,,11,135
2023/02/28 05:00:00+00,518182,Red Line,Red Line,RL Alewife-Braintree NB,NB Quincy Center to Wollaston,place-qnctr | place-wlsta,Active Restriction,2023/02/17 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,0,0,0,1,,11,136
2023/02/28 05:00:00+00,518455,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston Station,place-wlsta,Restriction Opened,2023/02/19 05:00:00+00,2023/02/20 05:00:00+00,Track,10 mph,0.17,900,0.004,41.9,0,1,0,0,1,,137
2023/02/28 05:00:00+00,518455,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston Station,place-wlsta,Restriction Cleared,2023/02/19 05:00:00+00,2023/02/20 05:00:00+00,Track,10 mph,0.17,900,0.004,41.9,0,0,-1,0,1,,138
2023/02/28 05:00:00+00,518456,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Restriction Opened,2023/02/19 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,0,1,0,0,,9,139
2023/02/28 05:00:00+00,518456,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Active Restriction,2023/02/19 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,0,0,0,1,,9,140
2023/02/28 05:00:00+00,518457,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Restriction Opened,2023/02/19 05:00:00+00,2023/02/22 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,0,1,0,0,3,,141
2023/02/28 05:00:00+00,518457,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Active Restriction,2023/02/19 05:00:00+00,2023/02/22 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,0,0,0,0,3,,142
2023/02/28 05:00:00+00,518457,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Restriction Cleared,2023/02/19 05:00:00+00,2023/02/22 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,0,0,-1,0,3,,143
2023/02/28 05:00:00+00,518458,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Restriction Cleared,2023/02/19 05:00:00+00,2023/02/20 05:00:00+00,Track,10 mph,0.284,1500,0.007,41.9,0,0,-1,0,1,,144
2023/02/28 05:00:00+00,518458,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Restriction Opened,2023/02/19 05:00:00+00,2023/02/20 05:00:00+00,Track,10 mph,0.284,1500,0.007,41.9,0,1,0,0,1,,145
2023/02/28 05:00:00+00,518459,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Restriction Opened,2023/02/19 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,0,1,0,0,,9,146
2023/02/28 05:00:00+00,518459,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Active Restriction,2023/02/19 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,0,0,0,1,,9,147
2023/02/28 05:00:00+00,518460,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Restriction Opened,2023/02/19 05:00:00+00,,Track,10 mph,0.208,1100,0.005,41.9,0,1,0,0,,9,148
2023/02/28 05:00:00+00,518460,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Active Restriction,2023/02/19 05:00:00+00,,Track,10 mph,0.208,1100,0.005,41.9,0,0,0,1,,9,149
2023/02/28 05:00:00+00,518515,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Restriction Opened,2023/02/20 05:00:00+00,,Track,10 mph,0.133,700,0.003,41.9,0,1,0,0,,8,150
2023/02/28 05:00:00+00,518515,Red Line,Red Line,RL Alewife-Braintree NB,NB Wollaston to North Quincy,place-wlsta | place-nqncy,Active Restriction,2023/02/20 05:00:00+00,,Track,10 mph,0.133,700,0.003,41.9,0,0,0,1,,8,151
2023/02/28 05:00:00+00,518516,Red Line,Red Line,RL Alewife-Braintree SB,SB Wollaston to Quincy Center,place-wlsta | place-qnctr,Restriction Opened,2023/02/20 05:00:00+00,,Track,10 mph,0.152,800,0.004,41.9,0,1,0,0,,8,152
2023/02/28 05:00:00+00,518516,Red Line,Red Line,RL Alewife-Braintree SB,SB Wollaston to Quincy Center,place-wlsta | place-qnctr,Active Restriction,2023/02/20 05:00:00+00,,Track,10 mph,0.152,800,0.004,41.9,0,0,0,1,,8,153
2023/02/28 05:00:00+00,518517,Red Line,Red Line,RL Alewife-Braintree SB,SB North Quincy to Wollaston,place-nqncy | place-wlsta,Restriction Opened,2023/02/20 05:00:00+00,2023/02/22 05:00:00+00,Track,10 mph,0.114,600,0.003,41.9,0,1,0,0,2,,154
2023/02/28 05:00:00+00,518517,Red Line,Red Line,RL Alewife-Braintree SB,SB North Quincy to Wollaston,place-nqncy | place-wlsta,Active Restriction,2023/02/20 05:00:00+00,2023/02/22 05:00:00+00,Track,10 mph,0.114,600,0.003,41.9,0,0,0,0,2,,155
2023/02/28 05:00:00+00,518517,Red Line,Red Line,RL Alewife-Braintree SB,SB North Quincy to Wollaston,place-nqncy | place-wlsta,Restriction Cleared,2023/02/20 05:00:00+00,2023/02/22 05:00:00+00,Track,10 mph,0.114,600,0.003,41.9,0,0,-1,0,2,,156
2023/02/28 05:00:00+00,518518,Red Line,Red Line,RL Alewife-Braintree SB,SB North Quincy to Wollaston,place-nqncy | place-wlsta,Active Restriction,2023/02/20 05:00:00+00,2023/02/22 05:00:00+00,Track,10 mph,0.436,2300,0.01,41.9,0,0,0,0,2,,157
2023/02/28 05:00:00+00,518518,Red Line,Red Line,RL Alewife-Braintree SB,SB North Quincy to Wollaston,place-nqncy | place-wlsta,Restriction Opened,2023/02/20 05:00:00+00,2023/02/22 05:00:00+00,Track,10 mph,0.436,2300,0.01,41.9,0,1,0,0,2,,158
2023/02/28 05:00:00+00,518518,Red Line,Red Line,RL Alewife-Braintree SB,SB North Quincy to Wollaston,place-nqncy | place-wlsta,Restriction Cleared,2023/02/20 05:00:00+00,2023/02/22 05:00:00+00,Track,10 mph,0.436,2300,0.01,41.9,0,0,-1,0,2,,159
2023/02/28 05:00:00+00,518519,Red Line,Red Line,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Restriction Opened,2023/02/20 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,0,1,0,0,,8,160
2023/02/28 05:00:00+00,518519,Red Line,Red Line,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Active Restriction,2023/02/20 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,0,0,0,1,,8,161
2023/02/28 05:00:00+00,518713,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Restriction Opened,2023/02/21 05:00:00+00,,Track,25 mph,0.057,300,0.001,41.9,0,1,0,0,,7,162
2023/02/28 05:00:00+00,518713,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Active Restriction,2023/02/21 05:00:00+00,,Track,25 mph,0.057,300,0.001,41.9,0,0,0,1,,7,163
2023/02/28 05:00:00+00,518882,Orange Line,Orange Line,OL SB,SB Jackson Sq. to Stony Brook,place-jaksn | place-sbmnl,Restriction Opened,2023/02/21 05:00:00+00,2023/02/23 05:00:00+00,Track,10 mph,0.095,500,0.004,22.3,0,1,0,0,2,,164
2023/02/28 05:00:00+00,518882,Orange Line,Orange Line,OL SB,SB Jackson Sq. to Stony Brook,place-jaksn | place-sbmnl,Active Restriction,2023/02/21 05:00:00+00,2023/02/23 05:00:00+00,Track,10 mph,0.095,500,0.004,22.3,0,0,0,0,2,,165
2023/02/28 05:00:00+00,518882,Orange Line,Orange Line,OL SB,SB Jackson Sq. to Stony Brook,place-jaksn | place-sbmnl,Restriction Cleared,2023/02/21 05:00:00+00,2023/02/23 05:00:00+00,Track,10 mph,0.095,500,0.004,22.3,0,0,-1,0,2,,166
2023/02/28 05:00:00+00,519090,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Park St to Boylston,place-pktrm | place-boyls,Restriction Opened,2023/02/22 05:00:00+00,,Track,5 mph,0.038,200,0.003,14,0,1,0,0,,6,167
2023/02/28 05:00:00+00,519090,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Park St to Boylston,place-pktrm | place-boyls,Active Restriction,2023/02/22 05:00:00+00,,Track,5 mph,0.038,200,0.003,14,0,0,0,1,,6,168
