SR_Report_As_of_Date,ID,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Reason,Restriction_Speed_MPH,Restriction_Distance_Miles,Restriction_Distance_Feet,Restricted_Track_Pct,Total_Track_Miles,Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Restriction_Count_End,Restriction_Days_to_Clear,Restriction_Days_Active,ObjectId
2023/02/28 05:00:00+00,486881,Red Line,Red Line,RL Alewife-Braintree SB,SB Harvard to Central,place-harsq | place-cntsq,Restriction Cleared,2022/10/28 04:00:00+00,2023/02/27 05:00:00+00,Track,10 mph,0.208,1100,0.005,41.9,0,0,-1,0,122,,35
2023/02/28 05:00:00+00,486881,Red Line,Red Line,RL Alewife-Braintree SB,SB Harvard to Central,place-harsq | place-cntsq,Active Restriction,2022/10/28 04:00:00+00,2023/02/27 05:00:00+00,Track,10 mph,0.208,1100,0.005,41.9,1,0,0,0,122,,36
2023/02/28 05:00:00+00,488828,Orange Line,Orange Line,OL SB,SB Assembly to Sullivan,place-astao | place-sull,Active Restriction,2022/11/02 04:00:00+00,,Track,25 mph,0.076,400,0.003,22.3,1,0,0,1,,118,37
2023/02/28 05:00:00+00,489843,Red Line,Red Line,RL Alewife-Braintree NB,NB Quincy Adams to Quincy Center,place-qamnl | place-qnctr,Active Restriction,2022/11/07 05:00:00+00,,Track,10 mph,0.246,1300,0.006,41.9,1,0,0,1,,113,38
2023/02/28 05:00:00+00,489988,Red Line,Red Line,RL Alewife-Braintree NB,NB Central to Harvard,place-cntsq | place-harsq,Active Restriction,2022/11/08 05:00:00+00,2023/02/27 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,1,0,0,0,111,,39
2023/02/28 05:00:00+00,489988,Red Line,Red Line,RL Alewife-Braintree NB,NB Central to Harvard,place-cntsq | place-harsq,Restriction Cleared,2022/11/08 05:00:00+00,2023/02/27 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,0,0,-1,0,111,,40
2023/02/28 05:00:00+00,490317,Red Line,Red Line,RL Alewife-Braintree SB,SB Wollaston to Quincy Center,place-wlsta | place-qnctr,Active Restriction,2022/11/09 05:00:00+00,,Track,25 mph,0.189,1000,0.005,41.9,1,0,0,1,,111,41
2023/02/28 05:00:00+00,490414,Red Line,Red Line,RL Alewife-Braintree SB,SB Andrew to JFK,place-andrw | place-jfk,Active Restriction,2022/11/10 05:00:00+00,,Track,25 mph,0.114,600,0.003,41.9,1,0,0,1,,110,42
2023/02/28 05:00:00+00,490419,Red Line,Red Line,RL Alewife-Braintree NB,NB Park to Charles,place-pktrm | place-chmnl,Active Restriction,2022/11/10 05:00:00+00,2023/02/17 05:00:00+00,Track,10 mph,0.114,600,0.003,41.9,1,0,0,0,99,,43
2023/02/28 05:00:00+00,490419,Red Line,Red Line,RL Alewife-Braintree NB,NB Park to Charles,place-pktrm | place-chmnl,Restriction Cleared,2022/11/10 05:00:00+00,2023/02/17 05:00:00+00,Track,10 mph,0.114,600,0.003,41.9,0,0,-1,0,99,,44
2023/02/28 05:00:00+00,490421,Red Line,Red Line,RL Alewife-Braintree SB,SB Park St Station,place-pktrm,Restriction Cleared,2022/11/10 05:00:00+00,2023/02/17 05:00:00+00,Track,10 mph,0.114,600,0.003,41.9,0,0,-1,0,99,,45
2023/02/28 05:00:00+00,490421,Red Line,Red Line,RL Alewife-Braintree SB,SB Park St Station,place-pktrm,Active Restriction,2022/11/10 05:00:00+00,2023/02/17 05:00:00+00,Track,10 mph,0.114,600,0.003,41.9,1,0,0,0,99,,46
2023/02/28 05:00:00+00,491315,Orange Line,Orange Line,OL SB,SB Comm. College to North Sta.,place-ccmnl | place-north,Active Restriction,2022/11/17 05:00:00+00,,Track,25 mph,0.273,1440,0.012,22.3,1,0,0,1,,103,47
2023/02/28 05:00:00+00,492296,Red Line,Red Line,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Active Restriction,2022/11/24 05:00:00+00,2023/02/06 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,1,0,0,0,74,,48
2023/02/28 05:00:00+00,492296,Red Line,Red Line,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Restriction Cleared,2022/11/24 05:00:00+00,2023/02/06 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,0,0,-1,0,74,,49
2023/02/28 05:00:00+00,495892,Orange Line,Orange Line,OL SB,SB Assembly to Sullivan,place-astao | place-sull,Active Restriction,2022/12/06 05:00:00+00,,Track,10 mph,0.057,300,0.003,22.3,1,0,0,1,,84,50
2023/02/28 05:00:00+00,498029,Orange Line,Orange Line,OL SB,SB Comm. College to North Sta.,place-ccmnl | place-north,Restriction Cleared,2022/12/10 05:00:00+00,2023/02/09 05:00:00+00,Track,10 mph,0.076,400,0.003,22.3,0,0,-1,0,61,,51
2023/02/28 05:00:00+00,498029,Orange Line,Orange Line,OL SB,SB Comm. College to North Sta.,place-ccmnl | place-north,Active Restriction,2022/12/10 05:00:00+00,2023/02/09 05:00:00+00,Track,10 mph,0.076,400,0.003,22.3,1,0,0,0,61,,52
2023/02/28 05:00:00+00,498186,Orange Line,Orange Line,OL NB,NB Tufts Med. to Chinatown,place-tumnl | place-chncl,Active Restriction,2022/12/12 05:00:00+00,,Track,10 mph,0.114,600,0.005,22.3,1,0,0,1,,78,53
2023/02/28 05:00:00+00,501767,Red Line,Red Line,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Active Restriction,2022/12/29 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,1,0,0,1,,61,54
2023/02/28 05:00:00+00,501845,Red Line,Red Line,RL Alewife-Braintree SB,SB Andrew to JFK,place-andrw | place-jfk,Active Restriction,2022/12/30 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,1,0,0,1,,60,55
2023/02/28 05:00:00+00,503815,Red Line,Red Line,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Active Restriction,2023/01/03 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,1,0,0,1,,56,56
2023/02/28 05:00:00+00,504675,Orange Line,Orange Line,OL SB,SB Malden to Wellington,place-mlmnl | place-welln,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,25 mph,0.117,620,0.005,22.3,1,0,0,1,,54,57
2023/02/28 05:00:00+00,504676,Orange Line,Orange Line,OL SB,SB Malden to Wellington,place-mlmnl | place-welln,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.115,606,0.005,22.3,1,0,0,1,,54,58
2023/02/28 05:00:00+00,504677,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,25 mph,0.105,552,0.005,22.3,1,0,0,1,,54,59
2023/02/28 05:00:00+00,504678,Orange Line,Orange Line,OL SB,SB Wellington to Assembly,place-welln | place-astao,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.189,999,0.008,22.3,1,0,0,1,,54,60
2023/02/28 05:00:00+00,504680,Orange Line,Orange Line,OL SB,SB Sullivan Station,place-sull,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.097,510,0.004,22.3,1,0,0,1,,54,61
2023/02/28 05:00:00+00,504681,Orange Line,Orange Line,OL SB,SB Comm. College to North Sta.,place-ccmnl | place-north,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,25 mph,0.193,1021,0.009,22.3,1,0,0,1,,54,62
2023/02/28 05:00:00+00,504682,Orange Line,Orange Line,OL SB,SB North Station,place-north,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.096,506,0.004,22.3,1,0,0,1,,54,63
2023/02/28 05:00:00+00,504683,Orange Line,Orange Line,OL SB,SB Haymarket Station,place-haecl,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.078,411,0.003,22.3,1,0,0,1,,54,64
2023/02/28 05:00:00+00,504691,Orange Line,Orange Line,OL SB,SB Tufts Medical Station,place-tumnl,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.096,505,0.004,22.3,1,0,0,1,,54,65
2023/02/28 05:00:00+00,504693,Orange Line,Orange Line,OL NB,NB Jackson Sq. Station,place-jaksn,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.087,460,0.004,22.3,1,0,0,1,,54,66
2023/02/28 05:00:00+00,504694,Orange Line,Orange Line,OL NB,NB Back Bay to Tufts Med.,place-bbsta | place-tumnl,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.111,588,0.005,22.3,1,0,0,1,,54,67
2023/02/28 05:00:00+00,504695,Orange Line,Orange Line,OL NB,NB Wellington to Malden,place-welln | place-mlmnl,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,25 mph,0.121,641,0.005,22.3,1,0,0,1,,54,68
2023/02/28 05:00:00+00,504696,Orange Line,Orange Line,OL NB,NB Malden Station,place-mlmnl,Active Restriction,2023/01/05 05:00:00+00,,Vehicle,18 mph,0.101,534,0.005,22.3,1,0,0,1,,54,69
2023/02/28 05:00:00+00,505090,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Active Restriction,2023/01/09 05:00:00+00,2023/02/01 05:00:00+00,Track,10 mph,0.095,500,0.002,41.9,1,0,0,0,23,,70
2023/02/28 05:00:00+00,505090,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Restriction Cleared,2023/01/09 05:00:00+00,2023/02/01 05:00:00+00,Track,10 mph,0.095,500,0.002,41.9,0,0,-1,0,23,,71
2023/02/28 05:00:00+00,505837,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Active Restriction,2023/01/10 05:00:00+00,,Track,25 mph,0.114,600,0.003,41.9,1,0,0,1,,49,72
2023/02/28 05:00:00+00,508520,Red Line,Red Line,RL Alewife-Braintree NB,NB JFK Station (Braintree),place-jfk,Active Restriction,2023/01/13 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,1,0,0,1,,46,73
2023/02/28 05:00:00+00,509898,Red Line,Red Line,RL Alewife-Braintree NB,NB Broadway to South Sta.,place-brdwy | place-sstat,Active Restriction,2023/01/18 05:00:00+00,,Track,10 mph,0.265,1400,0.006,41.9,1,0,0,1,,41,74
2023/02/28 05:00:00+00,509920,Red Line,Red Line,RL Alewife-Braintree SB,SB South Sta. to Broadway,place-sstat | place-brdwy,Active Restriction,2023/01/18 05:00:00+00,,Track,10 mph,0.265,1400,0.006,41.9,1,0,0,1,,41,75
2023/02/28 05:00:00+00,509957,Red Line,Red Line,RL Alewife-Braintree SB,SB Downtown Cross. to South Sta.,place-dwnxg,Active Restriction,2023/01/18 05:00:00+00,,Track,10 mph,0.152,800,0.004,41.9,1,0,0,1,,41,76
2023/02/28 05:00:00+00,510311,Red Line,Red Line,RL Alewife-Braintree SB,SB Broadway to Andrew,place-brdwy | place-andrw,Active Restriction,2023/01/20 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,1,0,0,1,,39,77
2023/02/28 05:00:00+00,511201,Red Line,Red Line,RL Alewife-Braintree NB,NB Park to Charles,place-pktrm | place-chmnl,Active Restriction,2023/01/25 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,1,0,0,1,,34,78
2023/02/28 05:00:00+00,511204,Red Line,Red Line,RL Alewife-Braintree NB,NB Park St Station,place-pktrm,Active Restriction,2023/01/25 05:00:00+00,2023/02/17 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,1,0,0,0,23,,79
2023/02/28 05:00:00+00,511204,Red Line,Red Line,RL Alewife-Braintree NB,NB Park St Station,place-pktrm,Restriction Cleared,2023/01/25 05:00:00+00,2023/02/17 05:00:00+00,Track,25 mph,0.114,600,0.003,41.9,0,0,-1,0,23,,80
2023/02/28 05:00:00+00,511489,Red Line,Red Line,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Active Restriction,2023/01/26 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,1,0,0,1,,33,81
2023/02/28 05:00:00+00,511949,Green Line,Green Line B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Active Restriction,2023/01/26 05:00:00+00,2023/02/07 05:00:00+00,Track,6 mph,0.095,500,0.011,8.5,1,0,0,0,12,,82
2023/02/28 05:00:00+00,511949,Green Line,Green Line B,GL Kenmore-Boston Col. EB,EB South St to Chestnut Hill Ave,place-sougr | place-chill,Restriction Cleared,2023/01/26 05:00:00+00,2023/02/07 05:00:00+00,Track,6 mph,0.095,500,0.011,8.5,0,0,-1,0,12,,83
2023/02/28 05:00:00+00,512207,Red Line,Red Line,RL Alewife-Braintree NB,NB South Station,place-sstat,Active Restriction,2023/01/27 05:00:00+00,,Track,10 mph,0.114,600,0.003,41.9,1,0,0,1,,32,84
2023/02/28 05:00:00+00,512251,Orange Line,Orange Line,OL NB,NB Tufts Medical Sta.,place-tumnl,Active Restriction,2023/01/29 05:00:00+00,,Track,10 mph,0.189,1000,0.008,22.3,1,0,0,1,,30,85
2023/02/28 05:00:00+00,514869,Blue Line,Blue Line,BL WB,WB Maverick to Aquarium,place-mvbcl | place-aqucl,Restriction Opened,2023/02/03 05:00:00+00,2023/02/04 05:00:00+00,Track,10 mph,0.133,700,0.011,12.1,0,1,0,0,1,,86
2023/02/28 05:00:00+00,514869,Blue Line,Blue Line,BL WB,WB Maverick to Aquarium,place-mvbcl | place-aqucl,Restriction Cleared,2023/02/03 05:00:00+00,2023/02/04 05:00:00+00,Track,10 mph,0.133,700,0.011,12.1,0,0,-1,0,1,,87
2023/02/28 05:00:00+00,514964,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Haymarket Station,place-haecl,Restriction Opened,2023/02/04 05:00:00+00,2023/02/07 05:00:00+00,Track,6 mph,0.057,300,0.004,14,0,1,0,0,3,,88
2023/02/28 05:00:00+00,514964,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Haymarket Station,place-haecl,Active Restriction,2023/02/04 05:00:00+00,2023/02/07 05:00:00+00,Track,6 mph,0.057,300,0.004,14,0,0,0,0,3,,89
2023/02/28 05:00:00+00,514964,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Haymarket Station,place-haecl,Restriction Cleared,2023/02/04 05:00:00+00,2023/02/07 05:00:00+00,Track,6 mph,0.057,300,0.004,14,0,0,-1,0,3,,90
2023/02/28 05:00:00+00,515496,Red Line,Red Line,RL Alewife-Braintree NB,NB Harvard to Porter,place-harsq | place-portr,Active Restriction,2023/02/07 05:00:00+00,,Track,10 mph,0.019,100,0,41.9,0,0,0,1,,21,91
2023/02/28 05:00:00+00,515496,Red Line,Red Line,RL Alewife-Braintree NB,NB Harvard to Porter,place-harsq | place-portr,Restriction Opened,2023/02/07 05:00:00+00,,Track,10 mph,0.019,100,0,41.9,0,1,0,0,,21,92
2023/02/28 05:00:00+00,515664,Orange Line,Orange Line,OL SB,SB Sullivan to Comm. College,place-sull | place-ccmnl,Restriction Opened,2023/02/07 05:00:00+00,2023/02/08 05:00:00+00,Track,10 mph,0.739,3900,0.033,22.3,0,1,0,0,1,,93
2023/02/28 05:00:00+00,515664,Orange Line,Orange Line,OL SB,SB Sullivan to Comm. College,place-sull | place-ccmnl,Restriction Cleared,2023/02/07 05:00:00+00,2023/02/08 05:00:00+00,Track,10 mph,0.739,3900,0.033,22.3,0,0,-1,0,1,,94
2023/02/28 05:00:00+00,515726,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Park St to Boylston,place-pktrm | place-boyls,Restriction Opened,2023/02/08 05:00:00+00,,Track,5 mph,0.023,123,0.002,14,0,1,0,0,,20,95
2023/02/28 05:00:00+00,515726,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Park St to Boylston,place-pktrm | place-boyls,Active Restriction,2023/02/08 05:00:00+00,,Track,5 mph,0.023,123,0.002,14,0,0,0,1,,20,96
2023/02/28 05:00:00+00,516807,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Copley Station,place-coecl,Restriction Opened,2023/02/10 05:00:00+00,,Track,6 mph,0.057,300,0.004,14,0,1,0,0,,18,97
2023/02/28 05:00:00+00,516807,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave EB,EB Copley Station,place-coecl,Active Restriction,2023/02/10 05:00:00+00,,Track,6 mph,0.057,300,0.004,14,0,0,0,1,,18,98
2023/02/28 05:00:00+00,516965,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Haymarket to Govt Center,place-haecl | place-gover,Active Restriction,2023/02/13 05:00:00+00,,Track,5 mph,0.047,250,0.003,14,0,0,0,1,,15,99
2023/02/28 05:00:00+00,516965,Green Line,"Green Line, Medford, Union & Trunk",GL Kenmore-College Ave WB,WB Haymarket to Govt Center,place-haecl | place-gover,Restriction Opened,2023/02/13 05:00:00+00,,Track,5 mph,0.047,250,0.003,14,0,1,0,0,,15,100
2023/02/28 05:00:00+00,517290,Blue Line,Blue Line,BL EB,EB Wood I to Orient Heights,place-wimnl | place-orhte,Active Restriction,2023/02/14 05:00:00+00,,Track,10 mph,0.114,600,0.009,12.1,0,0,0,1,,14,101
2023/02/28 05:00:00+00,517290,Blue Line,Blue Line,BL EB,EB Wood I to Orient Heights,place-wimnl | place-orhte,Restriction Opened,2023/02/14 05:00:00+00,,Track,10 mph,0.114,600,0.009,12.1,0,1,0,0,,14,102
2023/02/28 05:00:00+00,517320,Red Line,Red Line,RL Alewife-Braintree SB,SB Wollaston to Quincy Center,place-wlsta | place-qnctr,Active Restriction,2023/02/14 05:00:00+00,,Track,10 mph,0.246,1300,0.006,41.9,0,0,0,1,,14,103
2023/02/28 05:00:00+00,517320,Red Line,Red Line,RL Alewife-Braintree SB,SB Wollaston to Quincy Center,place-wlsta | place-qnctr,Restriction Opened,2023/02/14 05:00:00+00,,Track,10 mph,0.246,1300,0.006,41.9,0,1,0,0,,14,104
2023/02/28 05:00:00+00,517323,Red Line,Red Line,RL Alewife-Braintree SB,SB Wollaston to Quincy Center,place-wlsta | place-qnctr,Restriction Opened,2023/02/14 05:00:00+00,2023/03/01 05:00:00+00,Track,10 mph,0.076,400,0.002,41.9,0,1,0,0,15,,105
2023/02/28 05:00:00+00,517323,Red Line,Red Line,RL Alewife-Braintree SB,SB Wollaston to Quincy Center,place-wlsta | place-qnctr,Active Restriction,2023/02/14 05:00:00+00,2023/03/01 05:00:00+00,Track,10 mph,0.076,400,0.002,41.9,0,0,0,1,15,,106
